input_file,pdf_lines_json,factor,spans_preview,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,review_action,reviewer_notes
data/extracted/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.json,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.pdf.lines.json,1 Charged Off Acct,1 Charged Off Acct...,#dc3545,1_charged_off_acct--ce0f6d7de1,0,"[382.67999267578125, 233.84498596191406, 476.22406005859375, 248.958984375]",exact,1.00,,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.json,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.pdf.lines.json,$10389 Unpaid Collections,$10389 Unpaid Collections...,#dc3545,10389_unpaid_collections--b941f90ff3,0,"[382.67999267578125, 250.84498596191406, 514.1298828125, 265.958984375]",exact,1.00,,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.json,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.pdf.lines.json,Light Open Rev Depth,Light Open Rev Depth...,#dc3545,light_open_rev_depth--4cfd0227fb,0,"[382.67999267578125, 267.85498046875, 491.5140075683594, 282.968994140625]",exact,1.00,,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.json,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.pdf.lines.json,Avg Age Open,Avg Age Open...,#dc3545,avg_age_open--8f2357d36a,0,"[382.67999267578125, 284.864990234375, 454.2240295410156, 299.97900390625]",exact,1.00,,tmp/auto_map/user_1083_credit_summary_2025-09-01_100435_ground_truth_unvalidated.mapped.json,,
data/extracted/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.json,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.pdf.lines.json,5 Over Limit Accnt,5 Over Limit Accnt...,#428f4e,5_over_limit_accnt--e5dc4efae0,0,"[382.67999267578125, 165.8050079345703, 472.5390319824219, 180.91900634765625]",exact,1.00,,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.mapped.json,,
data/extracted/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.json,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.pdf.lines.json,Total Rev Usage > 90%,Total Rev Usage > 90%...,#428f4e,total_rev_usage_90--217ef38a5f,0,"[382.67999267578125, 182.8150177001953, 499.14801025390625, 197.92901611328125]",exact,1.00,,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.mapped.json,,
data/extracted/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.json,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.pdf.lines.json,Pay $14387 so Accts < 40%,Pay $14387 so Accts < 40%...,#dc3545,pay_14387_so_accts_40--913d7c2c44,0,"[382.67999267578125, 199.8250274658203, 520.5650634765625, 214.93902587890625]",exact,1.00,,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.mapped.json,,
data/extracted/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.json,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.pdf.lines.json,No 5k+ Lines,No 5k+ Lines...,#dc3545,no_5k_lines--b5977f5b70,0,"[382.67999267578125, 216.83497619628906, 447.1839904785156, 231.948974609375]",exact,1.00,,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.mapped.json,,
data/extracted/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.json,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.pdf.lines.json,Less than 5 yrs,Less than 5 yrs...,#dc3545,less_than_5_yrs--49d01eded4,0,"[382.67999267578125, 233.84498596191406, 457.2710266113281, 248.958984375]",exact,1.00,,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.mapped.json,,
data/extracted/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.json,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.pdf.lines.json,7k+ lines,7k+ lines...,#428f4e,7k_lines--dd9be306ca,0,"[382.67999267578125, 250.84498596191406, 426.39398193359375, 265.958984375]",exact,1.00,,tmp/auto_map/user_687_credit_summary_2025-09-01_132152_ground_truth_unvalidated.mapped.json,,
